Model,MAE,MSE,RMSE,R²
Gradient Boosting,126952.85816667517,44010273071.04076,209786.25567715525,0.7088819275533313
XGBoost,122802.2457603227,44999659175.28228,212131.2310228795,0.7023373606721539
Random Forest,120988.75018920391,44609117428.52546,211208.7058540094,0.7049207066182759
